probe_id,origin,asn,as_holder
10006,80.5.131.205,5089,"NTL, GB"
10101,213.126.51.234,33915,"TNF-AS, NL"
10131,87.250.37.34,35573,"AVCOM-AS, RS"
10141,92.106.227.31,3303,"SWISSCOM Swisscom (Switzerland) Ltd, CH"
10221,93.100.110.215,35807,"SKYNET-SPB-AS, RU"
10248,195.8.52.5,48659,"WIDE-NET-AS, PL"
10266,220.233.18.168,10143,"EXETEL-AS-AP Exetel Pty Ltd, AU"
10293,193.37.151.128,8489,"PORTAL-TO-WEB, DE"
10605,164.128.243.69,3303,"SWISSCOM Swisscom (Switzerland) Ltd, CH"
10611,77.249.216.6,6830,"LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT"
10647,81.25.30.132,47913,"CERBEROSLB, CZ"
10725,79.140.211.25,43192,"IMEDIA-AS, IE"
10738,217.234.184.176,3320,"DTAG Internet service provider operations, DE"
10743,73.221.156.65,7922,"COMCAST-7922, US"
10767,217.193.139.97,3303,"SWISSCOM Swisscom (Switzerland) Ltd, CH"
10869,37.194.18.209,31200,"NTK IPv6 customers, RU"
10932,2.133.110.37,9198,"KAZTELECOM-AS, KZ"
10938,51.175.112.30,29695,"ALTIBOX_AS Norway, NO"
10982,184.160.16.230,5769,"VIDEOTRON, CA"
10988,37.0.94.178,28685,"ASN-ROUTIT, NL"
11022,82.231.143.8,12322,"PROXAD, FR"
11075,79.196.127.240,3320,"DTAG Internet service provider operations, DE"
11145,82.70.17.62,13037,"ZEN-AS Zen Internet - UK, GB"
11155,176.56.245.98,51815,"TEKNIKBYRAN, SE"
11179,81.98.114.64,5089,"NTL, GB"
11220,80.100.93.2,3265,"XS4ALL-NL Amsterdam, NL"
11292,61.23.151.220,9824,"JTCL-JP-AS Jupiter Telecommunication Co. Ltd, JP"
11421,92.77.30.129,3209,"VODANET International IP-Backbone of Vodafone, DE"
11423,130.255.84.250,57571,"TELEKONIKA_RUZA-AS, RU"
11461,91.213.225.2,60382,"CRANLEIGH-AS, GB"
11499,213.118.55.113,6848,"TELENET-AS, BE"
11523,84.192.186.123,6848,"TELENET-AS, BE"
11571,78.22.141.131,6848,"TELENET-AS, BE"
11577,109.128.169.157,5432,"PROXIMUS-ISP-AS, BE"
11622,95.165.149.38,25513,"ASN-MGTS-USPD, RU"
11667,213.219.144.171,9031,"EDPNET, BE"
11688,81.25.96.253,60409,"MEDIARAMA, IT"
11758,80.220.72.201,1759,"TSF-IP-CORE Telia Finland Oyj, EU"
11835,109.128.151.223,5432,"PROXIMUS-ISP-AS, BE"
11868,51.148.143.242,13037,"ZEN-AS Zen Internet - UK, GB"
11883,66.35.115.38,14955,"N-V-C, US"
11950,90.113.39.171,3215,"France Telecom - Orange, FR"
12066,176.195.23.118,12714,"TI-AS Moscow, Russia, RU"
12078,212.111.203.5,12687,"URAN Kiev, Ukraine, UA"
12125,212.12.62.94,9211,"WORK-AS N@work Internet Informationssysteme GmbH, DE"
12126,5.103.109.12,44869,"FIBIA-P-S, DK"
12137,79.172.70.184,30784,"ISKRATELECOM-AS SEVEN-SKY, RU"
12156,173.28.166.148,30036,"MEDIACOM-ENTERPRISE-BUSINESS, US"
12170,217.18.40.3,15954,"TECNOCRATICA Tecnocratica Centro de Datos, S.L., ES"
12177,93.234.58.251,3320,"DTAG Internet service provider operations, DE"
12225,79.240.207.45,3320,"DTAG Internet service provider operations, DE"
12336,185.107.12.99,204151,"KVIKNET-, DK"
12411,45.118.188.13,134220,"UFONE-AS-AP UFONE, NZ"
12426,50.120.0.139,5650,"FRONTIER-FRTR, US"
12428,27.122.113.0,38195,"SUPERLOOP-AS-AP Superloop, AU"
12438,90.100.60.126,3215,"France Telecom - Orange, FR"
12474,87.202.173.168,6799,"OTENET-GR Athens - Greece, GR"
12729,212.130.103.31,3292,"TDC TDC A/S, DK"
12753,2.110.180.204,3292,"TDC TDC A/S, DK"
12810,217.178.18.182,55391,"MF-NATIVE6-E INTERNET MULTIFEED CO., JP"
12823,109.205.72.254,35236,"AS35236, CZ"
12874,77.240.96.185,42189,"EUROSIGNAL-AS, CZ"
12890,91.222.128.24,197467,"Samara University, RU"
12894,14.201.16.188,7545,"TPG-INTERNET-AP TPG Telecom Limited, AU"
12990,77.49.135.97,1241,"FORTHNET-GR Forthnet, EU"
13015,210.187.236.132,4788,"TMNET-AS-AP TM Net, Internet Service Provider, MY"
13086,131.188.24.12,680,"DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V., DE"
13121,41.90.132.57,33771,"SAFARICOM-LIMITED, KE"
13131,76.124.127.177,7922,"COMCAST-7922, US"
13188,213.144.146.209,13030,"INIT7, CH"
13206,176.163.68.130,5410,"BOUYGTEL-ISP, FR"
13230,78.197.253.14,12322,"PROXAD, FR"
13242,94.111.0.255,47377,"ORANGE_BELGIUM_SA KPN Belgium Business NV has been acquired by Mobistar, BE"
13248,193.0.108.32,8890,"UW-AS, PL"
13263,41.222.48.170,32653,"ENETWORKS, ZA"
13392,85.191.200.56,43557,"ASEMNET, DK"
13407,82.64.7.45,12322,"PROXAD, FR"
13410,109.87.28.107,13188,"TRIOLAN, UA"
13434,81.187.199.50,20712,"AS20712 Andrews & Arnold Ltd, GB"
13482,141.136.175.48,13046,"ASN-ISKON HEP, HR"
13488,84.163.105.211,3320,"DTAG Internet service provider operations, DE"
13493,83.218.148.13,16082,"SPITFIRE, GB"
13494,83.240.43.132,31246,"NETBOX-AS NETBOX Autonomous system, CZ"
13551,192.80.100.144,12119,"ITV-3, US"
13599,81.187.8.134,20712,"AS20712 Andrews & Arnold Ltd, GB"
13605,82.253.46.175,12322,"PROXAD, FR"
13662,84.179.195.162,3320,"DTAG Internet service provider operations, DE"
13665,213.119.73.63,6848,"TELENET-AS, BE"
13740,78.137.6.142,25133,"MCLAUT-AS, UA"
13746,160.119.236.94,328137,"Web-Squad-Connect-AS, ZA"
13824,81.16.105.140,24992,"DIC-AS, AT"
13971,182.160.98.35,24323,"AAMRA-NETWORKS-AS-AP aamra networks limited, BD"
14043,82.64.102.215,12322,"PROXAD, FR"
14051,5.68.204.230,5607,"BSKYB-BROADBAND-AS, GB"
14061,195.29.145.218,5391,"T-HT Croatian Telecom Inc., HR"
14073,84.185.148.188,3320,"DTAG Internet service provider operations, DE"
14205,80.235.212.186,5089,"NTL, GB"
14238,188.66.77.211,31655,"ASN-GAMMATELECOM, GB"
14250,87.178.211.250,3320,"DTAG Internet service provider operations, DE"
14271,217.155.33.59,13037,"ZEN-AS Zen Internet - UK, GB"
14317,185.41.106.2,199938,"NETZWERGE, DE"
14325,102.65.177.253,328453,"Web-Africa-Networks-AS, ZA"
14328,212.159.72.172,6871,"PLUSNET UK Internet Service Provider, GB"
14352,153.240.154.133,4713,"OCN NTT Communications Corporation, JP"
14511,183.178.83.120,9269,"HKBN-AS-AP Hong Kong Broadband Network Ltd., HK"
14544,217.155.147.17,13037,"ZEN-AS Zen Internet - UK, GB"
14586,195.177.252.36,60036,"PEMBS-WIFI Pembs Wifi Ltd, GB"
14616,83.162.255.52,3265,"XS4ALL-NL Amsterdam, NL"
14661,82.95.237.21,3265,"XS4ALL-NL Amsterdam, NL"
14676,83.162.248.214,3265,"XS4ALL-NL Amsterdam, NL"
14724,80.151.40.43,3320,"DTAG Internet service provider operations, DE"
14745,109.88.237.16,12392,"ASBRUTELE VOO, BE"
14748,73.38.119.151,7922,"COMCAST-7922, US"
14784,37.201.119.21,6830,"LIBERTYGLOBAL Liberty Global (formerly UPC Broadband Holding, aka AORTA), AT"
14814,83.57.65.94,3352,"TELEFONICA_DE_ESPANA, ES"
14895,212.124.34.242,12470,"AS12470 Housing-Center, DE"
14916,213.49.72.207,5432,"PROXIMUS-ISP-AS, BE"
15087,77.20.46.163,31334,"KABELDEUTSCHLAND-AS, DE"
15099,80.127.235.238,3265,"XS4ALL-NL Amsterdam, NL"
15133,73.180.4.136,7922,"COMCAST-7922, US"
