probe_id,long,lat
10003,4.9375,52.3685
10006,0.1575,52.2205
10007,-122.3325,38.3305
10019,5.2875,43.5315
10023,13.3785,52.4985
10031,13.4085,52.5175
10034,21.0185,52.1995
10047,14.4795,50.0305
10048,-1.4405,50.9415
10051,8.7395,50.1175
10052,11.5895,48.1885
10058,5.4395,43.3415
10068,15.2305,44.1215
10070,30.5205,50.4175
10080,139.4315,35.9175
10087,20.6315,50.8805
10089,-0.0885,51.5415
10092,23.4015,42.6885
10095,174.7115,-36.7705
10098,-0.3785,51.6015
10099,-84.2785,34.0215
10101,4.6075,52.3475
10113,21.4275,41.9985
10131,20.4685,44.8075
10134,-0.1915,51.5895
10141,7.5695,46.8675
10146,-71.1005,42.2405
10152,20.4195,42.0685
10176,19.9105,42.1705
10179,17.8505,59.4115
10180,5.3815,52.1975
10185,-117.1985,32.8595
10188,6.0815,50.7815
10194,-87.9985,41.8795
10203,1.2275,6.1685
10204,-71.1525,42.3795
10214,6.3775,49.5095
10215,37.7175,55.7395
10221,30.3885,59.9775
10228,38.4485,57.7915
10231,5.4685,51.4375
10237,2.1685,41.3905
10238,82.9085,55.0015
10239,9.9985,57.4615
10243,39.2795,-6.7915
10248,22.5795,49.4415
10249,65.5595,57.1815
10250,9.9895,53.4875
10252,33.5295,44.6185
10258,73.2795,55.0315
10266,151.2405,-33.9495
10273,4.6705,52.1285
10274,37.6305,54.1795
10281,11.0915,49.2275
10286,-87.1685,39.0305
10287,92.8015,56.0005
10293,8.6115,50.2285
10301,-93.3225,44.9175
10303,-122.6825,45.5185
10305,-121.9425,37.2795
10311,-91.1425,30.4575
10312,-79.7925,36.0685
10317,-97.1525,32.6705
10322,-71.0615,42.0385
10324,-99.1315,19.4295
10331,-122.1215,47.4775
10333,-75.1715,39.9485
10335,-71.0615,42.3595
10336,-95.5615,29.8905
10338,-83.4615,42.3215
10342,-117.0005,46.7285
10350,-77.3805,37.6775
10356,-74.6105,39.2505
10357,-75.5205,39.1605
10362,-83.7395,42.2485
10369,-91.1195,30.4515
10371,-74.0095,40.8875
10377,-75.8495,42.9305
10381,-122.3285,37.5575
10386,-74.4285,39.4905
10390,-84.5685,42.8375
10394,-112.2885,33.7095
10397,-122.2285,47.8105
10400,-81.6425,28.7975
10402,-71.5225,42.3085
10403,-122.0725,36.9985
10406,-86.9825,40.2005
10413,-89.5325,43.0685
10415,-122.4025,37.7195
10418,-89.4325,43.0115
10427,-73.6315,40.7305
10441,-113.3005,53.5275
