;probe_id;long;lat;country_code;continent_code
0;10006;0.1575;52.2205;GB;EU
1;10007;-122.3325;38.3305;US;NA
2;10080;139.4315;35.9175;JP;AS
3;10087;20.6315;50.8805;PL;EU
4;10092;23.4015;42.6885;BG;EU
5;10095;174.7115;-36.7705;NZ;OC
6;10098;-0.3785;51.6015;GB;EU
7;10099;-84.2785;34.0215;US;NA
8;10101;4.6075;52.3475;NL;EU
9;10131;20.4685;44.8075;RS;EU
10;10134;-0.1915;51.5895;GB;EU
11;10141;7.5695;46.8675;CH;EU
12;10146;-71.1005;42.2405;US;NA
13;10179;17.8505;59.4115;SE;EU
14;10180;5.3815;52.1975;NL;EU
15;10194;-87.9985;41.8795;US;NA
16;10214;6.3775;49.5095;DE;EU
17;10215;37.7175;55.7395;RU;EU
18;10221;30.3885;59.9775;RU;EU
19;10228;38.4485;57.7915;RU;EU
20;10231;5.4685;51.4375;NL;EU
21;10238;82.9085;55.0015;RU;EU
22;10239;9.9985;57.4615;DK;EU
23;10243;39.2795;-6.7915;TZ;AF
24;10248;22.5795;49.4415;PL;EU
25;10250;9.9895;53.4875;DE;EU
26;10258;73.2795;55.0315;RU;EU
27;10266;151.2405;-33.9495;AU;OC
28;10273;4.6705;52.1285;NL;EU
29;10286;-87.1685;39.0305;US;NA
30;10287;92.8015;56.0005;RU;EU
31;10293;8.6115;50.2285;DE;EU
32;10301;-93.3225;44.9175;US;NA
33;10303;-122.6825;45.5185;US;NA
34;10312;-79.7925;36.0685;US;NA
35;10317;-97.1525;32.6705;US;NA
36;10322;-71.0615;42.0385;US;NA
37;10331;-122.1215;47.4775;US;NA
38;10335;-71.0615;42.3595;US;NA
39;10336;-95.5615;29.8905;US;NA
40;10338;-83.4615;42.3215;US;NA
41;10342;-117.0005;46.7285;US;NA
42;10356;-74.6105;39.2505;US;NA
43;10357;-75.5205;39.1605;US;NA
44;10377;-75.8495;42.9305;US;NA
45;10386;-74.4285;39.4905;US;NA
46;10390;-84.5685;42.8375;US;NA
47;10397;-122.2285;47.8105;US;NA
48;10400;-81.6425;28.7975;US;NA
49;10402;-71.5225;42.3085;US;NA
50;10406;-86.9825;40.2005;US;NA
51;10441;-113.3005;53.5275;CA;NA
52;10443;-73.2005;44.4685;US;NA
53;10444;-79.3805;43.6495;CA;NA
54;10458;-75.6505;41.4915;US;NA
55;10462;-77.5295;38.9785;US;NA
56;10473;-73.1295;44.5285;US;NA
57;10478;-90.1695;32.4015;US;NA
58;10479;-114.0095;50.9515;CA;NA
59;10484;-76.9885;38.8895;US;NA
60;10486;-122.6385;48.2905;US;NA
61;10497;34.7715;31.9705;IL;AS
62;10498;-78.8785;42.8915;US;NA
63;10535;-9.2315;38.6995;PT;EU
64;10540;-88.1105;42.0075;US;NA
65;10542;-87.7905;41.7385;US;NA
66;10543;-81.7305;28.7985;US;NA
67;10544;-87.6905;42.0695;US;NA
68;10545;-88.1405;41.3195;US;NA
69;10551;-77.2305;39.9775;US;NA
70;10553;-73.4305;41.3585;US;NA
71;10554;-85.7805;42.8895;US;NA
72;10555;-85.6205;42.2995;US;NA
73;10556;-88.0905;41.8405;US;NA
74;10562;-75.1895;39.7085;US;NA
75;10565;-95.5995;29.6695;US;NA
76;10568;-75.1695;40.2015;US;NA
77;10576;-77.5995;38.8105;US;NA
78;10583;-83.8985;33.9885;US;NA
79;10584;-75.9185;40.3495;US;NA
80;10587;-84.3785;33.7405;US;NA
81;10598;-78.0185;40.7915;US;NA
82;10605;7.4275;46.9395;CH;EU
83;10611;4.8975;52.3675;NL;EU
84;10626;-104.8315;39.0505;US;NA
85;10645;2.0395;48.7695;FR;EU
86;10647;15.0195;50.8405;CZ;EU
87;10650;174.9795;-41.1725;NZ;OC
88;10654;7.9995;51.3295;DE;EU
89;10661;-70.6595;-33.5025;CL;SA
90;10681;21.7815;61.4675;FI;EU
91;10692;-77.4885;39.0385;US;NA
92;10704;-80.7925;28.1995;US;NA
93;10717;44.7675;40.5505;AM;AS
94;10718;46.1975;38.8715;AM;AS
95;10725;-8.5515;52.6695;IE;EU
96;10729;44.5085;40.2015;AM;AS
97;10738;9.6185;49.7915;DE;EU
98;10743;-122.3105;47.6185;US;NA
99;10750;26.1395;44.4875;RO;EU
100;10754;12.5895;55.6795;DK;EU
101;10767;7.4505;46.9605;CH;EU
102;10770;8.7105;47.3575;CH;EU
103;10774;23.8405;61.4595;FI;EU
104;10782;5.9715;51.9585;NL;EU
105;10785;-0.7285;51.5195;GB;EU
106;10790;-106.4885;31.7575;US;NA
107;10797;2.3315;48.8705;FR;EU
108;10813;-8.6025;51.6685;IE;EU
109;10816;2.0375;48.7605;FR;EU
110;10819;6.2875;51.9715;NL;EU
111;10824;13.4185;52.5295;DE;EU
112;10843;32.5795;0.3085;UG;AF
113;10845;10.7895;52.4295;DE;EU
114;10858;-6.2805;53.3515;IE;EU
115;10864;8.6605;49.8695;DE;EU
116;10866;-46.5795;-23.5395;BR;SA
117;10869;82.9805;55.0415;RU;EU
118;10884;-71.4585;42.2895;US;NA
119;10885;12.4915;48.6395;DE;EU
120;10890;4.9015;52.3675;NL;EU
121;10904;30.4875;59.9595;RU;EU
122;10920;10.4485;48.3375;DE;EU
123;10923;6.1885;49.1085;FR;EU
124;10928;8.5985;47.4215;CH;EU
125;10932;76.9085;43.2585;KZ;AS
126;10933;145.9485;-38.1415;AU;OC
127;10935;17.0385;51.1095;PL;EU
128;10938;10.6085;59.8915;NO;EU
129;10940;-1.1405;52.6375;GB;EU
130;10946;2.1995;41.4105;ES;EU
131;10949;9.4995;40.9215;IT;EU
132;10951;4.7995;52.0775;NL;EU
133;10955;9.9295;56.0395;DK;EU
134;10967;28.0005;-26.1195;ZA;AF
135;10972;31.1705;48.3785;UA;EU
136;10982;-73.5585;45.5185;CA;NA
137;10988;5.3815;52.2615;NL;EU
138;11006;28.8375;47.0305;MD;EU
139;11010;-75.3925;39.9175;US;NA
140;11016;174.7775;-41.2895;NZ;OC
141;11022;-1.6315;47.2585;FR;EU
142;11054;30.2895;60.0995;RU;EU
143;11055;30.5995;50.5295;UA;EU
144;11056;135.4195;34.6005;JP;AS
145;11061;37.3405;55.8075;RU;EU
146;11063;37.5405;55.6885;RU;EU
147;11075;8.8305;52.2695;DE;EU
148;11079;37.9005;55.6915;RU;EU
149;11090;-117.1585;32.7375;US;NA
150;11092;37.1815;56.7385;RU;EU
151;11104;18.0075;49.1495;CZ;EU
152;11108;7.8675;47.3415;CH;EU
153;11116;65.4975;57.1205;RU;EU
154;11118;6.0175;49.6315;LU;EU
155;11145;-1.8405;53.8495;GB;EU
156;11155;18.1495;59.3595;SE;EU
157;11158;6.7895;51.2515;DE;EU
158;11162;3.9605;51.0185;BE;EU
159;11175;-1.8395;53.8495;GB;EU
160;11179;-0.1295;51.5115;GB;EU
161;11180;-68.0085;10.2075;VE;SA
162;11182;28.0615;-26.0615;ZA;AF
163;11194;8.3915;49.0095;DE;EU
164;11200;4.5975;51.1475;BE;EU
165;11209;-75.7025;45.4215;CA;NA
166;11210;13.6975;52.4575;DE;EU
167;11220;5.9685;51.8675;NL;EU
168;11243;7.8195;48.6685;FR;EU
169;11260;-6.2595;53.3475;IE;EU
170;11266;10.1005;56.2305;DK;EU
171;11274;73.4405;54.9395;RU;EU
172;11275;7.0505;62.6295;NO;EU
173;11289;12.5715;55.7115;DK;EU
174;11292;139.8715;35.6585;JP;AS
175;11296;8.8515;48.2705;DE;EU
176;11299;7.4915;51.5115;DE;EU
177;11320;39.7985;43.5675;RU;EU
178;11323;4.2885;51.0285;BE;EU
179;11337;30.3085;59.9905;RU;EU
180;11361;30.3605;59.9275;RU;EU
181;11363;3.8805;50.9885;BE;EU
182;11374;30.3405;59.9295;RU;EU
